rho,eta,year,ssp,discount_factor
0.0,1,2166,SSP3,0.4592735937993888
0.0,1,2166,SSP4,0.2953156330755991
0.0,1,2166,SSP5,0.03395000596763531
0.0,1,2167,SSP1,0.08081854404848601
0.0,1,2167,SSP2,0.10483319865102764
0.0,1,2167,SSP3,0.4572673065679019
0.0,1,2167,SSP4,0.2935520037317837
0.0,1,2167,SSP5,0.033281673890720315
0.0,1,2168,SSP1,0.07970582409896591
0.0,1,2168,SSP2,0.10338316957830655
0.0,1,2168,SSP3,0.45526978358611186
0.0,1,2168,SSP4,0.2917989068085854
0.0,1,2168,SSP5,0.0326264984466925
0.0,1,2169,SSP1,0.07860842421862842
0.0,1,2169,SSP2,0.10195319697947725
0.0,1,2169,SSP3,0.45328098656833776
0.0,1,2169,SSP4,0.290056279406232
0.0,1,2169,SSP5,0.03198422063707653
0.0,1,2170,SSP1,0.07752613347882084
0.0,1,2170,SSP2,0.10054300343793303
0.0,1,2170,SSP3,0.4513008773961456
0.0,1,2170,SSP4,0.2883240590005896
0.0,1,2170,SSP5,0.03135458656198204
0.0,1,2171,SSP1,0.07645874385498291
0.0,1,2171,SSP2,0.0991523153742309
0.0,1,2171,SSP3,0.4493294181176175
0.0,1,2171,SSP4,0.28660218344091937
0.0,1,2171,SSP5,0.03073734731973398
0.0,1,2172,SSP1,0.07540605018666287
0.0,1,2172,SSP2,0.09778086299301678
0.0,1,2172,SSP3,0.44736657094662474
0.0,1,2172,SSP4,0.2848905909476477
0.0,1,2172,SSP5,0.03013225890847895
0.0,1,2173,SSP1,0.07436785013808397
0.0,1,2173,SSP2,0.09642838023068488
0.0,1,2173,SSP3,0.445412298262103
0.0,1,2173,SSP4,0.28318922011014935
0.0,1,2173,SSP5,0.029539082129728396
0.0,1,2174,SSP1,0.07334394415925415
0.0,1,2174,SSP2,0.09509460470376095
0.0,1,2174,SSP3,0.4434665626073316
0.0,1,2174,SSP4,0.2814980098845444
0.0,1,2174,SSP5,0.02895758249380068
0.0,1,2175,SSP1,0.07233413544761083
0.0,1,2175,SSP2,0.09377927765799955
0.0,1,2175,SSP3,0.44152932668921546
0.0,1,2175,SSP4,0.27981689959150774
0.0,1,2175,SSP5,0.02838753012712456
0.0,1,2176,SSP1,0.07133822991019409
0.0,1,2176,SSP2,0.09248214391818545
0.0,1,2176,SSP3,0.4396005533775704
0.0,1,2176,SSP4,0.2781458289140922
0.0,1,2176,SSP5,0.027828699681367516
0.0,1,2177,SSP1,0.07035603612634045
0.0,1,2177,SSP2,0.09120295183862917
0.0,1,2177,SSP3,0.43768020570441146
0.0,1,2177,SSP4,0.27648473789556427
0.0,1,2177,SSP5,0.027280870244352915
